Sector,Industry,Company,No_Yrs,EPS_Payout,TTM_EPS,PEG,TTM_ROE,TTM_Growth,NY_Growth,DRG_1yr,Debt,Est_2019,Symbol
Health Care,Life Sciences Tools & Services,Agilent Technologies Inc.,8,24.48,2.68,2.7,6.9,27.3,10.95,12.9,0.39,0.66,A
Consumer Discretionary,Specialty Retail,Aaron's Inc.,16,5.62,2.49,1.68,17.8,13.1,16.04,9.1,0.17,0.13,AAN
Information Technology,"Technology Hardware, Storage & Peripherals",Apple Inc.,7,24.03,12.15,1.05,48.7,32.6,11.54,14.6,1.07,3.1,AAPL
Real Estate,Equity Real Estate Investment Trusts (REITs),American Assets Trust Inc.,8,260.47,0.43,33.6,2.4,-13.4,20,3.8,1.56,1.1,AAT
Health Care,Health Care Providers & Services,AmerisourceBergen Corp.,14,32.19,4.97,1.79,54.9,202.4,9.47,4.4,1.59,1.69,ABC
Industrials,Commercial Services & Supplies,ABM Industries Inc.,52,67.29,1.07,2,6.8,-20.3,14.31,2.9,0.65,0.71,ABM
Financials,Mortgage Real Estate Investment Trusts (REITs),Arbor Realty Trust Inc.,7,83.08,1.3,1.15,14.2,27.4,-12.91,36.1,4.85,1.08,ABR
Health Care,Health Care Equipment & Supplies,Abbott Laboratories,6,91.43,1.4,4.73,3,44.6,12.18,5.7,0.77,1.23,ABT
Real Estate,Equity Real Estate Investment Trusts (REITs),American Campus Communities,6,216.47,0.85,3.09,3,-25,-5.1,4.6,0.85,1.84,ACC
Information Technology,IT Services,Accenture plc,14,43.07,6.78,2.61,39.6,21.5,8.99,4.9,0,3.07,ACN
Industrials,Commercial Services & Supplies,Acme United Corp.,16,37.5,1.28,1.3,6.5,-13,12.31,4.8,0,0.44,ACU
Information Technology,Semiconductors & Semiconductor Equipment,Analog Devices Inc.,16,46.72,4.11,2.57,13.9,99,8.3,6.7,0.58,2.11,ADI
Information Technology,IT Services,Automatic Data Proc.,44,80.82,3.91,2.15,39.7,-4.9,13.28,15.8,0.43,2.67,ADP
Utilities,Multi-Utilities,Ameren Corp,5,55.39,3.43,2.62,9.3,3.3,-3.13,3.9,1.15,1.91,AEE
Financials,Insurance,American Equity Investment Life Holding Co.,15,5.36,5.22,0.6,17.1,139.7,-17.34,7.7,0.3,0.31,AEL
Utilities,Electric Utilities,American Electric Power Co.,9,68.37,3.92,3.52,10.3,206.9,6.43,5.9,1.31,2.78,AEP
Financials,Insurance,American Financial Group Inc.,13,17.92,8.93,0.85,14,-15.3,0.41,12.6,0.25,1.46,AFG
Financials,Insurance,AFLAC Inc.,36,26.53,3.92,1.33,20.8,4.2,2.79,19.5,0.23,1.08,AFL
Industrials,Machinery,AGCO Corp.,6,17.6,3.41,0.95,7.8,45.3,22.47,7.1,0.65,0.66,AGCO
Financials,Thrifts & Mortgage Finance,Federal Agricultural Mortgage Corp.,7,26.7,8.69,0.74,16.9,12.7,3.35,61.1,30.18,2.55,AGM
Financials,Insurance,Assured Guaranty Ltd.,7,13.45,4.76,2.84,7.2,-1.6,-31.06,12.3,0.19,0.65,AGO
