,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,BikeBuyer,AreaCode,Sex,Married,JobType,EducationType,Country,Income,AgeBracket,ChildrenFlag
0,1,0,0,0,500,1,1,0,0,1,3,0,1
1,0,1,3,1,500,1,0,0,0,1,3,1,1
2,1,1,3,0,500,1,1,0,0,1,2,1,1
3,0,1,0,0,500,0,0,0,0,1,2,0,0
4,1,4,5,1,500,0,0,0,0,1,2,0,1
5,1,1,0,1,500,1,0,0,0,1,3,1,0
6,1,1,0,1,500,0,0,0,0,1,2,1,0
7,1,2,3,1,500,1,1,0,0,1,3,1,1
8,1,3,4,1,500,0,0,0,0,1,2,1,1
9,0,1,0,0,500,1,0,0,0,1,3,1,0
10,0,1,0,0,500,0,0,0,0,1,2,1,0
11,1,4,4,1,500,1,1,0,0,1,2,1,1
12,1,2,0,1,555,0,1,2,0,0,2,0,1
13,1,3,0,0,555,1,1,2,0,0,3,0,1
14,0,3,0,0,555,0,0,2,0,0,3,0,1
15,0,1,0,0,555,0,0,1,1,0,0,0,0
16,1,1,0,0,555,1,1,1,1,0,0,0,0
17,0,2,0,1,555,1,0,1,2,5,0,0,0
18,0,2,0,0,555,1,0,1,2,5,0,0,0
19,1,1,0,0,555,1,1,1,1,0,1,0,0
20,1,2,0,0,555,1,1,1,1,0,2,0,0
21,1,2,1,0,500,1,1,3,4,1,0,2,1
22,0,2,0,0,500,1,0,3,1,1,1,2,1
23,1,2,0,0,500,1,1,3,1,1,0,2,1
24,1,2,0,0,500,0,1,3,1,1,0,2,1
25,1,2,0,0,500,0,1,1,2,1,0,2,1
26,1,2,0,0,500,0,1,1,2,1,0,2,1
27,1,2,0,0,500,1,1,1,2,1,0,2,1
28,1,2,0,0,500,0,1,1,2,1,0,2,1
29,1,2,1,0,500,0,1,3,4,1,0,2,1
30,1,2,0,0,555,0,1,1,1,0,2,0,0
31,0,2,0,0,555,0,0,3,4,5,0,0,0
32,0,2,0,1,500,1,0,0,0,1,3,0,0
36,1,2,0,0,555,1,1,1,1,0,1,0,0
37,1,2,0,0,555,0,1,1,1,0,2,0,0
