,size,accuracy_100,accuracy_200,accuracy_300,accuracy_400,accuracy_500,combs
0,1,0.67255,0.67255,0.67255,0.67255,0.67255,"('HomeOwnerFlag',)"
1,1,0.709275,0.709275,0.709275,0.709275,0.709275,"('NumberCarsOwned',)"
2,1,0.7724,0.7724,0.7724,0.7724,0.7724,"('NumberChildrenAtHome',)"
3,1,0.67255,0.67255,0.67255,0.67255,0.67255,"('AreaCode',)"
4,1,0.67255,0.67255,0.67255,0.67255,0.67255,"('Sex',)"
5,1,0.67255,0.67255,0.67255,0.67255,0.67255,"('Married',)"
6,1,0.67255,0.67255,0.67255,0.67255,0.67255,"('JobType',)"
7,1,0.67255,0.67255,0.67255,0.67255,0.67255,"('EducationType',)"
8,1,0.67255,0.67255,0.67255,0.67255,0.67255,"('Country',)"
9,1,0.674475,0.674475,0.674475,0.674475,0.674475,"('Income',)"
10,1,0.67255,0.67255,0.67255,0.67255,0.67255,"('AgeBracket',)"
11,1,0.67255,0.67255,0.67255,0.67255,0.67255,"('ChildrenFlag',)"
12,2,0.709275,0.709275,0.709275,0.709275,0.709275,"('HomeOwnerFlag', 'NumberCarsOwned')"
13,2,0.7724,0.7724,0.7724,0.7724,0.7724,"('HomeOwnerFlag', 'NumberChildrenAtHome')"
14,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('HomeOwnerFlag', 'AreaCode')"
15,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('HomeOwnerFlag', 'Sex')"
16,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('HomeOwnerFlag', 'Married')"
17,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('HomeOwnerFlag', 'JobType')"
18,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('HomeOwnerFlag', 'EducationType')"
19,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('HomeOwnerFlag', 'Country')"
20,2,0.6816,0.6784749999999999,0.6784749999999999,0.6784749999999999,0.67995,"('HomeOwnerFlag', 'Income')"
21,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('HomeOwnerFlag', 'AgeBracket')"
22,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('HomeOwnerFlag', 'ChildrenFlag')"
23,2,0.77195,0.77195,0.77195,0.77195,0.77195,"('NumberCarsOwned', 'NumberChildrenAtHome')"
24,2,0.709275,0.709275,0.709275,0.709275,0.709275,"('NumberCarsOwned', 'AreaCode')"
25,2,0.709275,0.7086,0.709275,0.709275,0.709275,"('NumberCarsOwned', 'Sex')"
26,2,0.709275,0.709275,0.709275,0.709275,0.709275,"('NumberCarsOwned', 'Married')"
27,2,0.7103999999999999,0.7103999999999999,0.7103999999999999,0.7103999999999999,0.7103999999999999,"('NumberCarsOwned', 'JobType')"
28,2,0.711425,0.711425,0.711425,0.711425,0.711425,"('NumberCarsOwned', 'EducationType')"
29,2,0.709325,0.709325,0.709325,0.709325,0.709325,"('NumberCarsOwned', 'Country')"
30,2,0.709025,0.709025,0.709025,0.709025,0.709025,"('NumberCarsOwned', 'Income')"
31,2,0.7173499999999999,0.7173499999999999,0.7173499999999999,0.7173499999999999,0.7173499999999999,"('NumberCarsOwned', 'AgeBracket')"
32,2,0.716825,0.716825,0.716825,0.716825,0.716825,"('NumberCarsOwned', 'ChildrenFlag')"
33,2,0.7724,0.7724,0.7724,0.7724,0.7724,"('NumberChildrenAtHome', 'AreaCode')"
34,2,0.77585,0.77585,0.77585,0.77585,0.77585,"('NumberChildrenAtHome', 'Sex')"
35,2,0.776625,0.776625,0.776625,0.776625,0.776625,"('NumberChildrenAtHome', 'Married')"
36,2,0.772125,0.772125,0.772125,0.772125,0.772125,"('NumberChildrenAtHome', 'JobType')"
37,2,0.773325,0.7734000000000001,0.7734000000000001,0.7734000000000001,0.7734000000000001,"('NumberChildrenAtHome', 'EducationType')"
38,2,0.7714,0.7713749999999999,0.771975,0.772,0.772,"('NumberChildrenAtHome', 'Country')"
39,2,0.7724,0.7724,0.7724,0.7724,0.7724,"('NumberChildrenAtHome', 'Income')"
40,2,0.7767999999999999,0.7767999999999999,0.7767999999999999,0.7767999999999999,0.7767999999999999,"('NumberChildrenAtHome', 'AgeBracket')"
41,2,0.7724,0.7724,0.7724,0.7724,0.7724,"('NumberChildrenAtHome', 'ChildrenFlag')"
42,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('AreaCode', 'Sex')"
43,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('AreaCode', 'Married')"
44,2,0.677575,0.677575,0.677575,0.677575,0.677575,"('AreaCode', 'JobType')"
45,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('AreaCode', 'EducationType')"
46,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('AreaCode', 'Country')"
47,2,0.6913,0.6913,0.6913,0.6913,0.6913,"('AreaCode', 'Income')"
48,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('AreaCode', 'AgeBracket')"
49,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('AreaCode', 'ChildrenFlag')"
50,2,0.67035,0.67035,0.67035,0.67035,0.67035,"('Sex', 'Married')"
51,2,0.6763,0.6763,0.6763,0.6763,0.6763,"('Sex', 'JobType')"
52,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('Sex', 'EducationType')"
53,2,0.67255,0.67255,0.67255,0.67255,0.67255,"('Sex', 'Country')"
54,2,0.680025,0.680025,0.680025,0.680025,0.680025,"('Sex', 'Income')"
