,size,accuracy,combs
0,1,0.67255,"('HomeOwnerFlag',)"
1,1,0.6917,"('NumberCarsOwned',)"
2,1,0.7573000000000001,"('NumberChildrenAtHome',)"
3,1,0.67255,"('AreaCode',)"
4,1,0.67255,"('Sex',)"
5,1,0.67255,"('Married',)"
6,1,0.67255,"('JobType',)"
7,1,0.67255,"('EducationType',)"
8,1,0.67255,"('Country',)"
9,1,0.671625,"('Income',)"
10,1,0.67255,"('AgeBracket',)"
11,1,0.67255,"('ChildrenFlag',)"
12,2,0.6917,"('HomeOwnerFlag', 'NumberCarsOwned')"
13,2,0.7573000000000001,"('HomeOwnerFlag', 'NumberChildrenAtHome')"
14,2,0.67255,"('HomeOwnerFlag', 'AreaCode')"
15,2,0.67255,"('HomeOwnerFlag', 'Sex')"
16,2,0.67255,"('HomeOwnerFlag', 'Married')"
17,2,0.67255,"('HomeOwnerFlag', 'JobType')"
18,2,0.67255,"('HomeOwnerFlag', 'EducationType')"
19,2,0.67255,"('HomeOwnerFlag', 'Country')"
20,2,0.668575,"('HomeOwnerFlag', 'Income')"
21,2,0.67255,"('HomeOwnerFlag', 'AgeBracket')"
22,2,0.67255,"('HomeOwnerFlag', 'ChildrenFlag')"
23,2,0.76045,"('NumberCarsOwned', 'NumberChildrenAtHome')"
24,2,0.6951,"('NumberCarsOwned', 'AreaCode')"
25,2,0.7074750000000001,"('NumberCarsOwned', 'Sex')"
26,2,0.7037500000000001,"('NumberCarsOwned', 'Married')"
27,2,0.703875,"('NumberCarsOwned', 'JobType')"
28,2,0.70125,"('NumberCarsOwned', 'EducationType')"
29,2,0.6917,"('NumberCarsOwned', 'Country')"
30,2,0.7087,"('NumberCarsOwned', 'Income')"
31,2,0.7173499999999999,"('NumberCarsOwned', 'AgeBracket')"
32,2,0.71515,"('NumberCarsOwned', 'ChildrenFlag')"
33,2,0.7573000000000001,"('NumberChildrenAtHome', 'AreaCode')"
34,2,0.77585,"('NumberChildrenAtHome', 'Sex')"
35,2,0.776625,"('NumberChildrenAtHome', 'Married')"
36,2,0.762475,"('NumberChildrenAtHome', 'JobType')"
37,2,0.7643,"('NumberChildrenAtHome', 'EducationType')"
38,2,0.7573000000000001,"('NumberChildrenAtHome', 'Country')"
39,2,0.7680750000000001,"('NumberChildrenAtHome', 'Income')"
40,2,0.7601249999999999,"('NumberChildrenAtHome', 'AgeBracket')"
41,2,0.7639250000000001,"('NumberChildrenAtHome', 'ChildrenFlag')"
42,2,0.67255,"('AreaCode', 'Sex')"
43,2,0.67255,"('AreaCode', 'Married')"
44,2,0.67255,"('AreaCode', 'JobType')"
45,2,0.67255,"('AreaCode', 'EducationType')"
46,2,0.67255,"('AreaCode', 'Country')"
47,2,0.6913,"('AreaCode', 'Income')"
48,2,0.67255,"('AreaCode', 'AgeBracket')"
49,2,0.67255,"('AreaCode', 'ChildrenFlag')"
50,2,0.669375,"('Sex', 'Married')"
51,2,0.67255,"('Sex', 'JobType')"
52,2,0.67255,"('Sex', 'EducationType')"
53,2,0.67255,"('Sex', 'Country')"
54,2,0.680025,"('Sex', 'Income')"
55,2,0.67255,"('Sex', 'AgeBracket')"
56,2,0.67255,"('Sex', 'ChildrenFlag')"
57,2,0.6818500000000001,"('Married', 'JobType')"
58,2,0.67255,"('Married', 'EducationType')"
59,2,0.67255,"('Married', 'Country')"
60,2,0.7035499999999999,"('Married', 'Income')"
61,2,0.6479250000000001,"('Married', 'AgeBracket')"
62,2,0.670725,"('Married', 'ChildrenFlag')"
63,2,0.67255,"('JobType', 'EducationType')"
64,2,0.67255,"('JobType', 'Country')"
65,2,0.683225,"('JobType', 'Income')"
66,2,0.67255,"('JobType', 'AgeBracket')"
67,2,0.67255,"('JobType', 'ChildrenFlag')"
68,2,0.67255,"('EducationType', 'Country')"
69,2,0.6886000000000001,"('EducationType', 'Income')"
70,2,0.67255,"('EducationType', 'AgeBracket')"
71,2,0.67255,"('EducationType', 'ChildrenFlag')"
72,2,0.674375,"('Country', 'Income')"
73,2,0.67255,"('Country', 'AgeBracket')"
74,2,0.67255,"('Country', 'ChildrenFlag')"
75,2,0.7032499999999999,"('Income', 'AgeBracket')"
76,2,0.682175,"('Income', 'ChildrenFlag')"
77,2,0.67255,"('AgeBracket', 'ChildrenFlag')"
78,3,0.76035,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome')"
79,3,0.693425,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode')"
80,3,0.7074750000000001,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex')"
81,3,0.7037500000000001,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married')"
82,3,0.703875,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType')"
83,3,0.703125,"('HomeOwnerFlag', 'NumberCarsOwned', 'EducationType')"
84,3,0.6917,"('HomeOwnerFlag', 'NumberCarsOwned', 'Country')"
85,3,0.708075,"('HomeOwnerFlag', 'NumberCarsOwned', 'Income')"
86,3,0.7173499999999999,"('HomeOwnerFlag', 'NumberCarsOwned', 'AgeBracket')"
87,3,0.71515,"('HomeOwnerFlag', 'NumberCarsOwned', 'ChildrenFlag')"
88,3,0.7573000000000001,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode')"
89,3,0.7739250000000001,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex')"
90,3,0.776625,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Married')"
91,3,0.762775,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'JobType')"
92,3,0.7640750000000001,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'EducationType')"
93,3,0.7573000000000001,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Country')"
94,3,0.7677499999999999,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Income')"
95,3,0.7600750000000001,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AgeBracket')"
96,3,0.76535,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'ChildrenFlag')"
97,3,0.67255,"('HomeOwnerFlag', 'AreaCode', 'Sex')"
98,3,0.67255,"('HomeOwnerFlag', 'AreaCode', 'Married')"
99,3,0.67255,"('HomeOwnerFlag', 'AreaCode', 'JobType')"
100,3,0.67255,"('HomeOwnerFlag', 'AreaCode', 'EducationType')"
101,3,0.67255,"('HomeOwnerFlag', 'AreaCode', 'Country')"
102,3,0.6913,"('HomeOwnerFlag', 'AreaCode', 'Income')"
103,3,0.67255,"('HomeOwnerFlag', 'AreaCode', 'AgeBracket')"
104,3,0.67255,"('HomeOwnerFlag', 'AreaCode', 'ChildrenFlag')"
105,3,0.6659,"('HomeOwnerFlag', 'Sex', 'Married')"
106,3,0.67255,"('HomeOwnerFlag', 'Sex', 'JobType')"
107,3,0.67255,"('HomeOwnerFlag', 'Sex', 'EducationType')"
108,3,0.67255,"('HomeOwnerFlag', 'Sex', 'Country')"
109,3,0.680025,"('HomeOwnerFlag', 'Sex', 'Income')"
110,3,0.67255,"('HomeOwnerFlag', 'Sex', 'AgeBracket')"
111,3,0.67255,"('HomeOwnerFlag', 'Sex', 'ChildrenFlag')"
112,3,0.6818500000000001,"('HomeOwnerFlag', 'Married', 'JobType')"
113,3,0.6726,"('HomeOwnerFlag', 'Married', 'EducationType')"
114,3,0.67255,"('HomeOwnerFlag', 'Married', 'Country')"
115,3,0.702425,"('HomeOwnerFlag', 'Married', 'Income')"
116,3,0.649125,"('HomeOwnerFlag', 'Married', 'AgeBracket')"
117,3,0.669475,"('HomeOwnerFlag', 'Married', 'ChildrenFlag')"
118,3,0.67255,"('HomeOwnerFlag', 'JobType', 'EducationType')"
119,3,0.67255,"('HomeOwnerFlag', 'JobType', 'Country')"
120,3,0.683475,"('HomeOwnerFlag', 'JobType', 'Income')"
121,3,0.67255,"('HomeOwnerFlag', 'JobType', 'AgeBracket')"
122,3,0.67255,"('HomeOwnerFlag', 'JobType', 'ChildrenFlag')"
123,3,0.67255,"('HomeOwnerFlag', 'EducationType', 'Country')"
124,3,0.68885,"('HomeOwnerFlag', 'EducationType', 'Income')"
125,3,0.67255,"('HomeOwnerFlag', 'EducationType', 'AgeBracket')"
126,3,0.67255,"('HomeOwnerFlag', 'EducationType', 'ChildrenFlag')"
127,3,0.6771499999999999,"('HomeOwnerFlag', 'Country', 'Income')"
128,3,0.67255,"('HomeOwnerFlag', 'Country', 'AgeBracket')"
129,3,0.67255,"('HomeOwnerFlag', 'Country', 'ChildrenFlag')"
130,3,0.7032499999999999,"('HomeOwnerFlag', 'Income', 'AgeBracket')"
131,3,0.682175,"('HomeOwnerFlag', 'Income', 'ChildrenFlag')"
132,3,0.67255,"('HomeOwnerFlag', 'AgeBracket', 'ChildrenFlag')"
133,3,0.7595749999999999,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode')"
134,3,0.75975,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex')"
135,3,0.7685249999999999,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married')"
136,3,0.7614,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType')"
137,3,0.7591749999999999,"('NumberCarsOwned', 'NumberChildrenAtHome', 'EducationType')"
138,3,0.76045,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Country')"
139,3,0.7642249999999999,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Income')"
140,3,0.7607750000000001,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AgeBracket')"
141,3,0.759325,"('NumberCarsOwned', 'NumberChildrenAtHome', 'ChildrenFlag')"
142,3,0.7074750000000001,"('NumberCarsOwned', 'AreaCode', 'Sex')"
143,3,0.7037500000000001,"('NumberCarsOwned', 'AreaCode', 'Married')"
144,3,0.7013,"('NumberCarsOwned', 'AreaCode', 'JobType')"
145,3,0.6997,"('NumberCarsOwned', 'AreaCode', 'EducationType')"
146,3,0.695825,"('NumberCarsOwned', 'AreaCode', 'Country')"
147,3,0.7074499999999999,"('NumberCarsOwned', 'AreaCode', 'Income')"
148,3,0.705425,"('NumberCarsOwned', 'AreaCode', 'AgeBracket')"
149,3,0.71305,"('NumberCarsOwned', 'AreaCode', 'ChildrenFlag')"
150,3,0.7037500000000001,"('NumberCarsOwned', 'Sex', 'Married')"
151,3,0.7074750000000001,"('NumberCarsOwned', 'Sex', 'JobType')"
152,3,0.707125,"('NumberCarsOwned', 'Sex', 'EducationType')"
153,3,0.7074750000000001,"('NumberCarsOwned', 'Sex', 'Country')"
154,3,0.6932499999999999,"('NumberCarsOwned', 'Sex', 'Income')"
155,3,0.71,"('NumberCarsOwned', 'Sex', 'AgeBracket')"
156,3,0.7114999999999999,"('NumberCarsOwned', 'Sex', 'ChildrenFlag')"
157,3,0.6995,"('NumberCarsOwned', 'Married', 'JobType')"
158,3,0.704075,"('NumberCarsOwned', 'Married', 'EducationType')"
159,3,0.7037500000000001,"('NumberCarsOwned', 'Married', 'Country')"
160,3,0.717275,"('NumberCarsOwned', 'Married', 'Income')"
161,3,0.708675,"('NumberCarsOwned', 'Married', 'AgeBracket')"
162,3,0.707925,"('NumberCarsOwned', 'Married', 'ChildrenFlag')"
163,3,0.7058500000000001,"('NumberCarsOwned', 'JobType', 'EducationType')"
164,3,0.7033,"('NumberCarsOwned', 'JobType', 'Country')"
165,3,0.7005750000000001,"('NumberCarsOwned', 'JobType', 'Income')"
166,3,0.71425,"('NumberCarsOwned', 'JobType', 'AgeBracket')"
167,3,0.714825,"('NumberCarsOwned', 'JobType', 'ChildrenFlag')"
168,3,0.702275,"('NumberCarsOwned', 'EducationType', 'Country')"
169,3,0.70255,"('NumberCarsOwned', 'EducationType', 'Income')"
170,3,0.7139249999999999,"('NumberCarsOwned', 'EducationType', 'AgeBracket')"
171,3,0.716475,"('NumberCarsOwned', 'EducationType', 'ChildrenFlag')"
172,3,0.70845,"('NumberCarsOwned', 'Country', 'Income')"
173,3,0.71615,"('NumberCarsOwned', 'Country', 'AgeBracket')"
174,3,0.71515,"('NumberCarsOwned', 'Country', 'ChildrenFlag')"
175,3,0.7157,"('NumberCarsOwned', 'Income', 'AgeBracket')"
176,3,0.69655,"('NumberCarsOwned', 'Income', 'ChildrenFlag')"
177,3,0.72235,"('NumberCarsOwned', 'AgeBracket', 'ChildrenFlag')"
178,3,0.7649250000000001,"('NumberChildrenAtHome', 'AreaCode', 'Sex')"
179,3,0.776625,"('NumberChildrenAtHome', 'AreaCode', 'Married')"
180,3,0.7618,"('NumberChildrenAtHome', 'AreaCode', 'JobType')"
181,3,0.760475,"('NumberChildrenAtHome', 'AreaCode', 'EducationType')"
182,3,0.7573000000000001,"('NumberChildrenAtHome', 'AreaCode', 'Country')"
183,3,0.767825,"('NumberChildrenAtHome', 'AreaCode', 'Income')"
184,3,0.762075,"('NumberChildrenAtHome', 'AreaCode', 'AgeBracket')"
185,3,0.7617499999999999,"('NumberChildrenAtHome', 'AreaCode', 'ChildrenFlag')"
186,3,0.7719,"('NumberChildrenAtHome', 'Sex', 'Married')"
187,3,0.76675,"('NumberChildrenAtHome', 'Sex', 'JobType')"
188,3,0.772275,"('NumberChildrenAtHome', 'Sex', 'EducationType')"
189,3,0.773875,"('NumberChildrenAtHome', 'Sex', 'Country')"
190,3,0.769725,"('NumberChildrenAtHome', 'Sex', 'Income')"
191,3,0.7771,"('NumberChildrenAtHome', 'Sex', 'AgeBracket')"
192,3,0.77585,"('NumberChildrenAtHome', 'Sex', 'ChildrenFlag')"
193,3,0.7713000000000001,"('NumberChildrenAtHome', 'Married', 'JobType')"
194,3,0.7751750000000001,"('NumberChildrenAtHome', 'Married', 'EducationType')"
195,3,0.776625,"('NumberChildrenAtHome', 'Married', 'Country')"
196,3,0.771925,"('NumberChildrenAtHome', 'Married', 'Income')"
197,3,0.77935,"('NumberChildrenAtHome', 'Married', 'AgeBracket')"
198,3,0.776625,"('NumberChildrenAtHome', 'Married', 'ChildrenFlag')"
199,3,0.7652000000000001,"('NumberChildrenAtHome', 'JobType', 'EducationType')"
200,3,0.762475,"('NumberChildrenAtHome', 'JobType', 'Country')"
201,3,0.767825,"('NumberChildrenAtHome', 'JobType', 'Income')"
202,3,0.7668999999999999,"('NumberChildrenAtHome', 'JobType', 'AgeBracket')"
203,3,0.7657749999999999,"('NumberChildrenAtHome', 'JobType', 'ChildrenFlag')"
204,3,0.764675,"('NumberChildrenAtHome', 'EducationType', 'Country')"
205,3,0.770375,"('NumberChildrenAtHome', 'EducationType', 'Income')"
206,3,0.773325,"('NumberChildrenAtHome', 'EducationType', 'AgeBracket')"
207,3,0.772525,"('NumberChildrenAtHome', 'EducationType', 'ChildrenFlag')"
