,size,accuracy,combs
0,1,0.67255,"('HomeOwnerFlag',)"
1,1,0.709275,"('NumberCarsOwned',)"
2,1,0.7724,"('NumberChildrenAtHome',)"
3,1,0.67255,"('AreaCode',)"
4,1,0.67255,"('Sex',)"
5,1,0.67255,"('Married',)"
6,1,0.67255,"('JobType',)"
7,1,0.67255,"('EducationType',)"
8,1,0.67255,"('Country',)"
9,1,0.674475,"('Income',)"
10,1,0.67255,"('AgeBracket',)"
11,1,0.67255,"('ChildrenFlag',)"
12,2,0.709275,"('HomeOwnerFlag', 'NumberCarsOwned')"
13,2,0.7724,"('HomeOwnerFlag', 'NumberChildrenAtHome')"
14,2,0.67255,"('HomeOwnerFlag', 'AreaCode')"
15,2,0.67255,"('HomeOwnerFlag', 'Sex')"
16,2,0.67255,"('HomeOwnerFlag', 'Married')"
17,2,0.67255,"('HomeOwnerFlag', 'JobType')"
18,2,0.67255,"('HomeOwnerFlag', 'EducationType')"
19,2,0.67255,"('HomeOwnerFlag', 'Country')"
20,2,0.67995,"('HomeOwnerFlag', 'Income')"
21,2,0.67255,"('HomeOwnerFlag', 'AgeBracket')"
22,2,0.67255,"('HomeOwnerFlag', 'ChildrenFlag')"
23,2,0.7724,"('NumberCarsOwned', 'NumberChildrenAtHome')"
24,2,0.709275,"('NumberCarsOwned', 'AreaCode')"
25,2,0.709275,"('NumberCarsOwned', 'Sex')"
26,2,0.709275,"('NumberCarsOwned', 'Married')"
27,2,0.70885,"('NumberCarsOwned', 'JobType')"
28,2,0.7119,"('NumberCarsOwned', 'EducationType')"
29,2,0.709275,"('NumberCarsOwned', 'Country')"
30,2,0.710225,"('NumberCarsOwned', 'Income')"
31,2,0.7173499999999999,"('NumberCarsOwned', 'AgeBracket')"
32,2,0.716825,"('NumberCarsOwned', 'ChildrenFlag')"
33,2,0.7724,"('NumberChildrenAtHome', 'AreaCode')"
34,2,0.774325,"('NumberChildrenAtHome', 'Sex')"
35,2,0.775375,"('NumberChildrenAtHome', 'Married')"
36,2,0.7724,"('NumberChildrenAtHome', 'JobType')"
37,2,0.77165,"('NumberChildrenAtHome', 'EducationType')"
38,2,0.7724,"('NumberChildrenAtHome', 'Country')"
39,2,0.7724,"('NumberChildrenAtHome', 'Income')"
40,2,0.7767999999999999,"('NumberChildrenAtHome', 'AgeBracket')"
41,2,0.7724,"('NumberChildrenAtHome', 'ChildrenFlag')"
42,2,0.67255,"('AreaCode', 'Sex')"
43,2,0.67255,"('AreaCode', 'Married')"
44,2,0.67645,"('AreaCode', 'JobType')"
45,2,0.67255,"('AreaCode', 'EducationType')"
46,2,0.67255,"('AreaCode', 'Country')"
47,2,0.6913,"('AreaCode', 'Income')"
48,2,0.67255,"('AreaCode', 'AgeBracket')"
49,2,0.67255,"('AreaCode', 'ChildrenFlag')"
50,2,0.67035,"('Sex', 'Married')"
51,2,0.6763,"('Sex', 'JobType')"
52,2,0.67255,"('Sex', 'EducationType')"
53,2,0.67255,"('Sex', 'Country')"
54,2,0.680025,"('Sex', 'Income')"
55,2,0.678825,"('Sex', 'AgeBracket')"
56,2,0.67255,"('Sex', 'ChildrenFlag')"
57,2,0.6818500000000001,"('Married', 'JobType')"
58,2,0.6776249999999999,"('Married', 'EducationType')"
59,2,0.67255,"('Married', 'Country')"
60,2,0.7035499999999999,"('Married', 'Income')"
61,2,0.684675,"('Married', 'AgeBracket')"
62,2,0.67075,"('Married', 'ChildrenFlag')"
