,est_n_estimators,cv_mean,cv_std,size,CV_accuracy,accuracy,combs
0,50,0.7908426598891218,0.010744439220658245,6,0.7929999999999999,0.7946,"['NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag']"
1,50,0.7905989432380613,0.012393399134734808,7,0.7924,0.7952,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
2,25,0.7887094796450708,0.009074161128347137,5,0.792375,0.794,"['NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
3,25,0.7885873797951872,0.009789428938589398,6,0.792125,0.7952,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
4,10,0.7905378933131196,0.008086600768657826,5,0.792125,0.792,"['NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket']"
5,10,0.7868197187913378,0.010243100237511533,6,0.79205,0.7918,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
6,50,0.7896245596825255,0.010950423843637347,6,0.7917000000000001,0.7926,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
7,75,0.7908425112587506,0.01117165089363905,8,0.7907500000000001,0.789,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
8,10,0.7903547435382946,0.009482656176676839,5,0.7906249999999999,0.79,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket']"
9,75,0.7882826875343707,0.009642455368174546,7,0.7905749999999999,0.7894,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag']"
10,25,0.7855397883503514,0.012323163015729957,6,0.7903249999999999,0.7914,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
11,75,0.7901111383600126,0.009886461335077458,6,0.7901750000000001,0.793,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
12,75,0.7880389337257175,0.009287340115425079,7,0.790125,0.7914,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
13,50,0.7888934840445299,0.008817921628290676,7,0.79,0.7814,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag']"
14,75,0.7874292891009349,0.012032388547582156,6,0.7898750000000001,0.7918,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket']"
15,50,0.7891979533597895,0.010850389361220443,5,0.7898000000000001,0.7926,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket']"
16,25,0.7858447778719103,0.009201036484497901,7,0.7897000000000001,0.7918,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
17,50,0.7867589661271385,0.00947923572067345,5,0.7894249999999999,0.7904,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType']"
18,50,0.7844424874778912,0.010920329324360387,7,0.78935,0.7866,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
19,50,0.7851737117462583,0.010496567682841011,8,0.78915,0.787,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
20,75,0.7846860926561734,0.01098755553777016,6,0.7887,0.7878,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket']"
21,75,0.7870632496544344,0.010967431459370135,5,0.7881750000000001,0.788,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType']"
22,50,0.7834062736879653,0.010606977026993343,5,0.7881750000000001,0.7876,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket']"
23,25,0.7870638813335116,0.008662716338457997,8,0.7874,0.785,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket', 'ChildrenFlag']"
