,est_max_features,est_max_depth,cv_mean,cv_std,size,CV_accuracy,accuracy,combs
0,5,8,0.789867273078581,0.008611785991822388,6,0.7929999999999999,0.7944,"['NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag']"
1,6,12,0.788526292712653,0.009391210101662058,7,0.7924,0.7936,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
2,5,7,0.788770418097234,0.009095325761076488,5,0.792375,0.7948,"['NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
3,6,7,0.7895018653111576,0.00906688291821503,6,0.792125,0.795,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
4,1,10,0.7901720024969903,0.0077453821040041945,5,0.792125,0.7904,"['NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket']"
5,6,7,0.7881607363148586,0.00998571251986423,6,0.79205,0.7934,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
6,6,7,0.7862717557705742,0.010023878043802713,6,0.7917000000000001,0.7944,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
7,4,12,0.7871243367369688,0.009437618955752848,8,0.7907500000000001,0.7944,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
8,3,9,0.7902331267371174,0.00926969786163268,5,0.7906249999999999,0.7912,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket']"
9,7,9,0.7887706410427907,0.00911441171084153,7,0.7905749999999999,0.7922,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag']"
10,2,11,0.7865156953671915,0.009696147194163169,6,0.7903249999999999,0.7916,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
11,2,11,0.7887086250204367,0.010261146166518952,6,0.7901750000000001,0.7906,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
12,4,10,0.7857229752827692,0.010487769138824331,7,0.790125,0.7948,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
13,6,12,0.7863937813052719,0.006622432394827087,7,0.79,0.7864,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag']"
14,5,7,0.7856002437538087,0.009653468353499447,6,0.7898750000000001,0.7926,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket']"
15,5,7,0.7851749751044128,0.010246534412248572,5,0.7898000000000001,0.7944,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket']"
16,6,8,0.7869419301139995,0.0080780342592437,7,0.7897000000000001,0.7928,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag']"
17,5,8,0.7846250798888246,0.009778968233260948,5,0.7894249999999999,0.7912,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType']"
18,5,8,0.7887100370089625,0.010293466705259659,7,0.78935,0.7882,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
19,4,8,0.7884660230971596,0.009125597675393142,8,0.78915,0.7944,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
20,6,7,0.7858442576656115,0.007066452938846001,6,0.7887,0.7922,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket']"
21,3,7,0.7856003180689941,0.009741058019445734,5,0.7881750000000001,0.7926,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType']"
22,1,10,0.783345372393395,0.009198558292013487,5,0.7881750000000001,0.7892,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket']"
23,5,8,0.7870637327031406,0.008032327579741812,8,0.7874,0.7884,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket', 'ChildrenFlag']"
