,est_alpha,cv_mean,cv_std,size,CV_accuracy,accuracy,combs
0,0.0001,0.7361617692959379,0.012098083187385323,9,0.7832749999999999,0.7328,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
1,0.0001,0.7361617692959379,0.012098083187385323,8,0.7830999999999999,0.7328,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
2,0.0001,0.7361617692959379,0.012098083187385323,8,0.782975,0.7328,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
3,10.0,0.7402463919977408,0.014020065875924718,10,0.782975,0.745,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
4,0.0001,0.7361617692959379,0.012098083187385323,7,0.78295,0.7328,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
5,0.0001,0.74079509817036,0.013545157221645721,9,0.7829,0.745,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
6,10.0,0.7417703363505298,0.013074058858977467,8,0.782875,0.7438,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
7,0.0001,0.7405511957313358,0.013832563146257743,9,0.78285,0.745,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
8,0.0001,0.74079509817036,0.013545157221645721,8,0.7827,0.745,"['NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
9,0.0001,0.7374417740521099,0.011876947026234883,7,0.782675,0.7354,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
10,0.0001,0.74116072888334,0.013014067671538154,8,0.782525,0.7438,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
11,0.0001,0.7352471723071893,0.012385747103110646,7,0.7825249999999999,0.7354,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
12,0.0001,0.7374417740521099,0.011876947026234883,9,0.7825,0.7402,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
13,0.0001,0.7357958413222156,0.011857654381800338,7,0.7825,0.7354,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
14,1.0,0.7412216673355033,0.012954560081948306,9,0.782475,0.7438,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
15,0.0001,0.7357958413222156,0.011857654381800338,8,0.782475,0.7354,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
16,10.0,0.7423806126543898,0.01080052225721478,7,0.7824500000000001,0.745,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket']"
17,0.0001,0.7357958413222156,0.011857654381800338,6,0.782425,0.7354,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
18,0.0001,0.7418922875700421,0.011974421359277333,6,0.7824,0.7438,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
19,0.0001,0.7374417740521099,0.011876947026234883,8,0.782375,0.7402,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
20,0.0001,0.7432338624574546,0.00994455595092691,7,0.78235,0.7456,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket']"
21,0.0001,0.7352471723071893,0.012385747103110646,8,0.782325,0.7354,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag']"
22,0.0001,0.7432338624574546,0.00994455595092691,6,0.78225,0.7456,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket']"
23,10.0,0.7422586614348776,0.010492535932267483,9,0.782225,0.745,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Country', 'Income', 'AgeBracket']"
24,0.0001,0.7334793998305613,0.011060265621987295,9,0.782225,0.7362,"['NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
25,0.0001,0.7333574486110491,0.011159366954649155,10,0.782025,0.7358,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
26,0.0001,0.7429292816694163,0.009273559513459418,6,0.7818750000000001,0.7454,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket']"
27,10.0,0.7373198971477831,0.012298917546127906,10,0.78175,0.7388,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
28,0.0001,0.7446970541460441,0.009552533886446802,10,0.7817000000000001,0.7466,"['HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
29,1.0,0.7396360785362881,0.010530782094697363,10,0.78095,0.7394,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag']"
