,est_C,est_gamma,cv_mean,cv_std,size,CV_accuracy,accuracy,combs
0,10,0.1,0.7938917529605043,0.00498645602055566,9,0.797175,0.7922,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
1,1,0.1,0.7906612350488029,0.0058174875549458025,8,0.7970999999999999,0.783,"['NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
2,10,0.1,0.7888324313675932,0.005545288135325442,10,0.7969999999999999,0.7866,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
3,10,0.1,0.7926727611302324,0.007026555921855113,10,0.7967,0.7902,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
4,100,0.01,0.7896858111372946,0.007853600859981795,9,0.7966249999999999,0.772,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
5,100,0.01,0.7898687751354807,0.009450638276154364,8,0.7962499999999999,0.7712,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
6,10,0.1,0.791758368581857,0.008016533370102665,8,0.7960999999999999,0.7894,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
7,1,0.1,0.7905390608157835,0.007892735276177289,7,0.7960499999999999,0.7786,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket']"
8,1,0.1,0.789076222299864,0.006200623111612061,11,0.795975,0.7842,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
9,100,0.1,0.7916974858943957,0.006562119197983475,7,0.7958750000000001,0.793,"['NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
10,10,0.1,0.7920633767218501,0.0084428634908398,9,0.795875,0.7876,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
11,1,0.1,0.7898687751354807,0.007399865252089173,11,0.7958749999999999,0.7874,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag']"
12,10,0.1,0.7895029958147799,0.0076447434781146935,9,0.795825,0.7822,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Country', 'AgeBracket', 'ChildrenFlag']"
13,10,0.1,0.7909051003189094,0.008264505723007262,9,0.7958000000000001,0.7874,"['NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag']"
14,10,0.1,0.7912710283152816,0.008268379088504071,9,0.795775,0.7838,"['HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag']"
