,Unnamed: 0,size,accuracy,combs
1865,1865,6,0.790975,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
2313,2313,6,0.790925,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
1403,1403,5,0.7907249999999999,"('NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
2388,2388,6,0.7906249999999999,"('NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag')"
2384,2384,6,0.7905,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
1401,1401,5,0.7904,"('NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket')"
3242,3242,7,0.7893,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
1392,1392,5,0.78885,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket')"
2775,2775,7,0.7888,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
2378,2378,6,0.788625,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag')"
2850,2850,7,0.78825,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag')"
2117,2117,6,0.7882499999999999,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
3756,3756,8,0.788225,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
1396,1396,5,0.7880750000000001,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket')"
2376,2376,6,0.7879999999999999,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket')"
3196,3196,7,0.7879499999999999,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
3200,3200,7,0.7879,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag')"
3060,3060,7,0.7878499999999999,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag')"
1389,1389,5,0.7878,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType')"
2371,2371,6,0.7877500000000001,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket')"
1397,1397,5,0.78775,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'ChildrenFlag')"
1799,1799,6,0.7875749999999999,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket')"
1151,1151,5,0.7867500000000001,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType')"
615,615,4,0.786125,"('NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket')"
3649,3649,8,0.785725,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'Country', 'AgeBracket', 'ChildrenFlag')"
3650,3650,8,0.785475,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag')"
3782,3782,8,0.7853749999999999,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag')"
639,639,4,0.784975,"('NumberChildrenAtHome', 'Married', 'EducationType', 'AgeBracket')"
4009,4009,9,0.784075,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag')"
635,635,4,0.7838750000000001,"('NumberChildrenAtHome', 'Married', 'JobType', 'AgeBracket')"
351,351,4,0.78365,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married')"
3966,3966,9,0.783575,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
186,186,3,0.7821,"('NumberChildrenAtHome', 'Sex', 'Married')"
4008,4008,9,0.7821,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3921,3921,9,0.78205,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
194,194,3,0.7815,"('NumberChildrenAtHome', 'Married', 'EducationType')"
196,196,3,0.781325,"('NumberChildrenAtHome', 'Married', 'Income')"
