,Unnamed: 0,size,accuracy,combs
2388,2388,6,0.7929999999999999,"('NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag')"
3242,3242,7,0.7924,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
1403,1403,5,0.792375,"('NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
2313,2313,6,0.792125,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
1401,1401,5,0.792125,"('NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket')"
1865,1865,6,0.79205,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
2384,2384,6,0.7917000000000001,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
3756,3756,8,0.7907500000000001,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
1392,1392,5,0.7906249999999999,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket')"
2850,2850,7,0.7905749999999999,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag')"
2117,2117,6,0.7903249999999999,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
2378,2378,6,0.7901750000000001,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'AgeBracket', 'ChildrenFlag')"
3196,3196,7,0.790125,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
3060,3060,7,0.79,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'Income', 'AgeBracket', 'ChildrenFlag')"
2371,2371,6,0.7898750000000001,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket')"
1396,1396,5,0.7898000000000001,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'AgeBracket')"
2775,2775,7,0.7897000000000001,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'AgeBracket', 'ChildrenFlag')"
1389,1389,5,0.7894249999999999,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType')"
3250,3250,7,0.78935,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag')"
3782,3782,8,0.78915,"('NumberChildrenAtHome', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag')"
2382,2382,6,0.7887,"('NumberChildrenAtHome', 'Sex', 'Married', 'EducationType', 'Income', 'AgeBracket')"
1151,1151,5,0.7881750000000001,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'JobType')"
1155,1155,5,0.7881750000000001,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket')"
3760,3760,8,0.7874,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'Income', 'AgeBracket', 'ChildrenFlag')"
615,615,4,0.787175,"('NumberChildrenAtHome', 'Sex', 'Married', 'AgeBracket')"
4009,4009,9,0.7871,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag')"
3526,3526,8,0.7863,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
3649,3649,8,0.786125,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'Country', 'AgeBracket', 'ChildrenFlag')"
639,639,4,0.78535,"('NumberChildrenAtHome', 'Married', 'EducationType', 'AgeBracket')"
3921,3921,9,0.7842,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
644,644,4,0.7838,"('NumberChildrenAtHome', 'Married', 'Income', 'AgeBracket')"
351,351,4,0.78375,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex', 'Married')"
4008,4008,9,0.783625,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
3966,3966,9,0.783325,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'AgeBracket', 'ChildrenFlag')"
186,186,3,0.782825,"('NumberChildrenAtHome', 'Sex', 'Married')"
196,196,3,0.781675,"('NumberChildrenAtHome', 'Married', 'Income')"
194,194,3,0.78125,"('NumberChildrenAtHome', 'Married', 'EducationType')"
197,197,3,0.7802,"('NumberChildrenAtHome', 'Married', 'AgeBracket')"
4081,4081,10,0.78005,"('NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
4074,4074,10,0.7791750000000001,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag')"
4063,4063,10,0.77855,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
4073,4073,10,0.7775000000000001,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
40,40,2,0.7767999999999999,"('NumberChildrenAtHome', 'AgeBracket')"
35,35,2,0.776625,"('NumberChildrenAtHome', 'Married')"
34,34,2,0.77585,"('NumberChildrenAtHome', 'Sex')"
37,37,2,0.7734000000000001,"('NumberChildrenAtHome', 'EducationType')"
4092,4092,11,0.7730250000000001,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
2,2,1,0.7724,"('NumberChildrenAtHome',)"
4093,4093,11,0.772225,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
4084,4084,11,0.77125,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'AgeBracket', 'ChildrenFlag')"
4085,4085,11,0.77075,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Income', 'AgeBracket', 'ChildrenFlag')"
4094,4094,12,0.76505,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode', 'Sex', 'Married', 'JobType', 'EducationType', 'Country', 'Income', 'AgeBracket', 'ChildrenFlag')"
1,1,1,0.709275,"('NumberCarsOwned',)"
9,9,1,0.674475,"('Income',)"
0,0,1,0.67255,"('HomeOwnerFlag',)"
